AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,SALE_COND,PARKING_FACIL,PRICE
Chromepet,1156,124,2,2,Normal Sale,Yes,6500000
Tambaram,911,629,1,1,Normal Sale,Yes,4100000
Porur,1344,139,3,2,Normal Sale,Yes,8100000
Besant Nagar,1256,79,2,1,Normal Sale,NO,9400000
Guindy,1226,172,3,1,Normal Sale,Yes,10200000
Avadi,917,455,2,1,Normal Sale,Yes,3500000
Adyar,1609,344,3,3,Normal Sale,NO,14200000
Tambaram,978,82,1,2,Normal Sale,Yes,4400000
Mylapore,1496,161,4,4,Normal Sale,Yes,13800000
Nungambakkam,1268,597,2,2,Normal Sale,Yes,9800000
Guindy,1393,189,2,1,Normal Sale,Yes,10800000
Chetpet,1646,490,3,4,Abnormal,Yes,10500000
Chromepet,1018,412,3,2,Normal Sale,Yes,6100000
Besant Nagar,1264,12,3,1,Normal Sale,Yes,11700000
Saidapet,1234,212,2,1,Normal Sale,Yes,8300000
Perambur,1035,551,2,1,Abnormal,NO,3700000
Mylapore,1505,84,3,4,Normal Sale,NO,12100000
Adyar,1772,101,3,2,Normal Sale,NO,14600000
Nungambakkam,1389,200,2,1,Abnormal,Yes,9700000
Chromepet,1007,438,3,2,Normal Sale,Yes,6000000
Thiruvanmiyur,1268,59,2,1,Normal Sale,Yes,9300000
Tambaram,963,204,1,1,Normal Sale,NO,4100000
Perambur,966,86,1,2,Partial,Yes,4000000
Tambaram,1045,313,2,2,Normal Sale,Yes,4900000
Tambaram,935,33,1,1,Family,Yes,3400000
Tambaram,942,142,2,1,Normal Sale,Yes,4800000
Tambaram,1075,15,3,2,Partial,Yes,5300000
Guindy,1274,806,3,1,Normal Sale,Yes,9900000
Chetpet,1425,127,3,4,Normal Sale,Yes,12500000
Perambur,855,229,2,1,Normal Sale,Yes,4400000
Guindy,1445,28,4,4,Normal Sale,Yes,12200000
Thiruvanmiyur,1424,288,3,2,Partial,Yes,10200000
Mylapore,1523,61,3,4,Normal Sale,NO,13500000
Egmore,1227,102,2,1,Normal Sale,Yes,8500000
Avadi,825,10,1,1,Abnormal,Yes,2500000
Nungambakkam,1426,26,3,3,Normal Sale,Yes,12800000
Avadi,647,86,2,2,Normal Sale,Yes,2700000
Thiruvanmiyur,1169,237,3,1,Normal Sale,NO,9000000
Besant Nagar,1497,377,4,3,Normal Sale,Yes,14500000
Guindy,1158,157,2,2,Normal Sale,NO,8900000
Chetpet,1154,127,2,2,Normal Sale,Yes,9200000
Kodambakkam,1065,15,3,1,Normal Sale,Yes,7700000
Nungambakkam,1227,40,3,1,Normal Sale,Yes,11400000
Anna Nagar,1763,180,4,4,Family,NO,15000000
T Nagar,1479,492,4,2,Normal Sale,Yes,13800000
Anna Nagar,1919,430,3,4,Family,Yes,14400000
Nungambakkam,1610,6,3,2,Normal Sale,NO,13400000
Avadi,848,454,1,1,Normal Sale,Yes,3100000
Tambaram,992,308,2,1,Normal Sale,Yes,4300000
Guindy,1381,15,3,2,Normal Sale,Yes,11900000
Saidapet,997,155,2,2,Normal Sale,Yes,6600000
Saidapet,968,41,1,1,Normal Sale,Yes,6100000
Thiruvanmiyur,1233,549,3,1,Abnormal,Yes,7900000
Perambur,846,279,2,1,Abnormal,Yes,3700000
Mylapore,1605,186,4,2,Partial,Yes,14400000
Thiruvanmiyur,1399,76,2,2,Normal Sale,Yes,11100000
Mylapore,1402,207,4,4,Partial,Yes,12900000
T Nagar,1511,224,4,3,Normal Sale,Yes,14800000
Adyar,1528,151,3,2,Normal Sale,Yes,14700000
Besant Nagar,1380,382,3,2,Normal Sale,NO,11100000
T Nagar,1405,506,4,2,Normal Sale,NO,11800000
Perambur,916,370,2,2,Normal Sale,Yes,4200000
OMR,1565,83,3,4,Abnormal,NO,8600000
Chromepet,1037,18,3,2,Abnormal,Yes,5300000
Mylapore,1437,220,4,4,Partial,Yes,13100000
Besant Nagar,1242,281,3,1,Normal Sale,Yes,10400000
Chetpet,1687,801,4,2,Normal Sale,Yes,13500000
Porur,1017,1,3,2,Normal Sale,Yes,6400000
Avadi,870,172,2,1,Normal Sale,Yes,3500000
Mylapore,1434,242,4,4,Partial,Yes,13500000
Egmore,1044,487,3,2,Normal Sale,Yes,7900000
Thiruvanmiyur,1252,128,2,1,Normal Sale,Yes,9500000
Porur,1013,304,2,2,Partial,Yes,5200000
Egmore,1305,414,3,1,Normal Sale,NO,8400000
Tambaram,916,97,1,1,Normal Sale,NO,3800000
Velacherry,1059,989,2,2,Family,Yes,5300000
Egmore,1162,548,3,2,Normal Sale,Yes,8100000
OMR,1332,133,3,2,Partial,Yes,9200000
OMR,1414,400,4,3,Normal Sale,Yes,10400000
Adyar,1716,164,3,3,Normal Sale,NO,15700000
Kodambakkam,941,430,2,2,Normal Sale,Yes,6100000
Velacherry,1162,14,3,2,Normal Sale,Yes,8400000
Kodambakkam,1020,203,3,1,Partial,Yes,7300000
T Nagar,1438,772,3,2,Abnormal,NO,9800000
Kodambakkam,1167,6,2,1,Normal Sale,NO,7600000
OMR,1261,92,3,2,Normal Sale,Yes,9400000
Saidapet,897,379,2,2,Abnormal,Yes,4400000
Egmore,1309,382,3,2,Normal Sale,Yes,8700000
Guindy,1074,244,3,1,Normal Sale,Yes,9000000
Kodambakkam,1289,875,2,2,Normal Sale,Yes,8200000
Kodambakkam,1117,1000,3,2,Normal Sale,Yes,8200000
Thiruvanmiyur,1360,74,3,2,Normal Sale,Yes,11700000
Porur,1193,608,2,1,Abnormal,NO,5600000
Thiruvanmiyur,1331,205,3,1,Normal Sale,Yes,11000000
Tambaram,863,1000,2,1,Normal Sale,NO,3800000
Avadi,748,66,2,1,Abnormal,Yes,2400000
Saidapet,1059,276,3,2,Normal Sale,Yes,7000000
Chromepet,991,112,1,1,Normal Sale,Yes,5000000
Adyar,1741,222,3,3,Normal Sale,Yes,14900000
Guindy,1490,352,3,2,Partial,Yes,11200000
T Nagar,1383,342,2,1,Normal Sale,NO,10500000
Velacherry,1401,180,3,4,Partial,Yes,9400000
Chetpet,1625,435,3,2,Normal Sale,Yes,13500000
Guindy,1188,212,3,1,Family,Yes,8000000
Chetpet,1792,345,4,4,Normal Sale,NO,15200000
Egmore,1209,315,2,1,Normal Sale,Yes,7700000
Saidapet,1052,60,2,2,Normal Sale,Yes,6300000
Egmore,1190,273,2,2,Normal Sale,Yes,7700000
Thiruvanmiyur,1232,431,3,1,Normal Sale,Yes,9100000
Chetpet,1700,14,4,2,Normal Sale,Yes,15900000
Besant Nagar,1421,436,3,3,Normal Sale,Yes,12100000
Avadi,626,176,1,2,Normal Sale,NO,2400000
Chromepet,1053,168,3,1,Normal Sale,Yes,6200000
Guindy,1196,87,2,1,Normal Sale,NO,8100000
T Nagar,1719,422,3,3,Normal Sale,Yes,15000000
Mylapore,1349,611,3,1,Normal Sale,Yes,11800000
Tambaram,863,476,2,1,Normal Sale,Yes,4200000
Chetpet,1268,518,3,2,Normal Sale,Yes,9400000
Chetpet,1747,18,3,2,Normal Sale,Yes,15500000
Perambur,904,73,2,2,Normal Sale,Yes,4200000
Egmore,1646,555,3,4,Normal Sale,NO,10700000
Besant Nagar,1441,311,3,3,Partial,Yes,10900000
Nungambakkam,1336,332,3,2,Partial,Yes,11700000
Chetpet,1169,219,3,2,Normal Sale,NO,9700000
Guindy,1328,664,2,1,Normal Sale,Yes,10000000
Avadi,760,312,2,2,Normal Sale,Yes,2900000
Nungambakkam,1129,132,2,2,Normal Sale,Yes,10100000
Chetpet,1334,70,2,2,Normal Sale,Yes,10400000
Mylapore,1521,59,4,3,Normal Sale,Yes,15900000
Guindy,1277,57,2,1,Normal Sale,NO,10000000
Thiruvanmiyur,1358,94,2,2,Normal Sale,Yes,10900000
Egmore,1437,487,3,4,Normal Sale,NO,9700000
Porur,1109,14,2,2,Normal Sale,NO,6400000
Nungambakkam,1059,182,2,1,Partial,Yes,8700000
Adyar,1762,73,4,2,Normal Sale,Yes,18600000
Perambur,829,325,2,1,Normal Sale,Yes,4000000
Velacherry,1175,1000,2,2,Family,Yes,6200000
Saidapet,1120,43,2,1,Normal Sale,Yes,7100000
Thiruvanmiyur,1291,491,3,1,Normal Sale,Yes,9500000
Mylapore,1186,141,3,2,Normal Sale,NO,10400000
Velacherry,1119,370,2,2,Normal Sale,Yes,7200000
Guindy,1406,296,4,4,Normal Sale,NO,10900000
T Nagar,1827,34,3,2,Normal Sale,Yes,16400000
OMR,1257,534,2,1,Normal Sale,Yes,7400000
Kodambakkam,1029,43,3,2,Partial,Yes,7400000
Kodambakkam,1016,313,2,1,Normal Sale,Yes,7400000
Guindy,1472,1000,3,4,Partial,Yes,9300000
T Nagar,1600,7,3,2,Normal Sale,NO,13800000
Besant Nagar,1263,189,3,2,Normal Sale,Yes,10100000
Porur,922,112,2,2,Partial,NO,4900000
Saidapet,1106,199,3,1,Family,NO,6300000
Chromepet,951,1,2,2,Partial,Yes,4700000
Porur,1220,76,3,2,Normal Sale,Yes,7600000
Chetpet,1293,332,3,1,Normal Sale,Yes,10800000
Thiruvanmiyur,1408,32,3,2,Normal Sale,NO,10200000
Mylapore,1507,18,4,2,Normal Sale,Yes,13700000
Porur,950,114,1,2,Partial,Yes,4400000
Guindy,1115,250,3,2,Normal Sale,Yes,8300000
Guindy,1304,245,3,1,Normal Sale,Yes,10400000
Anna Nagar,1528,214,3,3,Normal Sale,Yes,14600000
Besant Nagar,1404,17,3,2,Normal Sale,NO,11600000
Porur,1059,130,3,1,Abnormal,NO,5700000
Besant Nagar,1524,1000,4,4,Normal Sale,Yes,12500000
OMR,1249,373,2,2,Normal Sale,Yes,7800000
Velacherry,1142,517,2,1,Family,Yes,6700000
Nungambakkam,1134,282,2,1,Partial,Yes,8400000
Guindy,1168,139,3,2,Partial,NO,7800000
Avadi,769,546,1,2,Normal Sale,Yes,2600000
Tambaram,768,100,2,1,Abnormal,Yes,3400000
Chetpet,1490,166,3,3,Normal Sale,Yes,12400000
Thiruvanmiyur,1213,364,3,2,Normal Sale,Yes,9900000
Chetpet,1191,127,2,1,Normal Sale,Yes,8500000
Nungambakkam,1335,38,3,2,Normal Sale,NO,12200000
Chromepet,1032,326,2,2,Normal Sale,Yes,5800000
Thiruvanmiyur,1183,9,2,1,Normal Sale,Yes,8400000
Tambaram,849,6,2,2,Normal Sale,Yes,4500000
Velacherry,1278,1000,2,2,Normal Sale,Yes,7600000
Perambur,936,226,1,1,Normal Sale,NO,4200000
Mylapore,1543,119,4,2,Normal Sale,Yes,14500000
Anna Nagar,1968,7,4,4,Normal Sale,Yes,20200000
Thiruvanmiyur,1155,192,3,1,Abnormal,Yes,8200000
Mylapore,1421,156,4,3,Normal Sale,Yes,13000000
Perambur,980,23,1,1,Normal Sale,Yes,4700000
T Nagar,1475,537,3,2,Normal Sale,Yes,12000000
OMR,1219,82,2,2,Normal Sale,Yes,8000000
Nungambakkam,1169,322,3,2,Normal Sale,Yes,9700000
Saidapet,1168,183,2,1,Normal Sale,Yes,7200000
Porur,1156,170,2,1,Normal Sale,Yes,7100000
Porur,1090,440,3,1,Normal Sale,Yes,6200000
Anna Nagar,1861,28,4,4,Normal Sale,Yes,17200000
Chetpet,1199,212,3,1,Family,Yes,8700000
Guindy,1314,262,3,1,Normal Sale,Yes,10700000
Adyar,1672,78,3,2,Partial,Yes,13800000
Chromepet,1266,165,3,2,Normal Sale,NO,7300000
Kodambakkam,1257,1000,2,2,Normal Sale,Yes,8600000
Chromepet,1124,73,3,1,Abnormal,Yes,5600000
Guindy,1710,132,4,3,Family,Yes,13600000
Avadi,755,189,2,1,Normal Sale,Yes,3300000
Nungambakkam,1494,2,4,3,Normal Sale,Yes,14700000
Porur,945,92,2,2,Normal Sale,Yes,5900000
T Nagar,1476,973,4,4,Normal Sale,Yes,12400000
Anna Nagar,1617,114,4,2,Normal Sale,NO,14100000
Velacherry,1323,27,2,2,Normal Sale,Yes,8500000
Tambaram,875,96,2,1,Normal Sale,Yes,4000000
Anna Nagar,1861,879,4,4,Normal Sale,Yes,16900000
Saidapet,1167,217,2,1,Partial,NO,6200000
Chetpet,1636,436,3,4,Normal Sale,Yes,13800000
Perambur,975,291,2,1,Normal Sale,Yes,4500000
Egmore,1358,142,3,2,Normal Sale,NO,9400000
T Nagar,1564,116,4,3,Family,Yes,12700000
T Nagar,1473,414,3,3,Abnormal,Yes,11800000
Kodambakkam,1095,26,3,1,Normal Sale,Yes,7800000
Tambaram,538,163,1,2,Normal Sale,Yes,2300000
Besant Nagar,1315,252,3,2,Partial,NO,9700000
Tambaram,834,469,1,2,Partial,NO,3000000
Adyar,1498,13,3,3,Abnormal,Yes,12200000
Porur,1154,230,3,2,Normal Sale,Yes,7600000
Besant Nagar,1133,117,3,2,Partial,Yes,9300000
Thiruvanmiyur,1415,1000,4,3,Normal Sale,Yes,11300000
Adyar,1697,1000,4,3,Normal Sale,NO,13600000
Perambur,908,12,1,1,Normal Sale,Yes,4200000
Anna Nagar,1758,13,4,2,Normal Sale,NO,15700000
Saidapet,1241,362,2,2,Normal Sale,Yes,7200000
Nungambakkam,1122,218,2,2,Partial,Yes,8900000
Chromepet,1043,529,2,1,Normal Sale,Yes,5700000
T Nagar,1477,792,4,2,Abnormal,Yes,11300000
Kodambakkam,1192,193,3,2,Normal Sale,Yes,8900000
T Nagar,1480,44,4,4,Abnormal,Yes,12500000
Adyar,2105,223,4,4,Normal Sale,Yes,21800000
OMR,1189,257,3,1,Normal Sale,NO,7900000
Egmore,1100,495,3,2,Normal Sale,Yes,7800000
Tambaram,805,154,2,2,Partial,Yes,3400000
Adyar,1099,270,3,1,Normal Sale,Yes,9100000
Chromepet,1288,305,3,1,Partial,NO,6300000
Perambur,898,757,1,1,Normal Sale,Yes,4100000
Nungambakkam,1063,34,2,2,Normal Sale,Yes,9000000
Nungambakkam,1498,250,3,2,Normal Sale,Yes,13500000
Porur,1207,137,3,1,Normal Sale,Yes,7500000
Adyar,1363,160,3,2,Normal Sale,Yes,11600000
Thiruvanmiyur,1098,343,3,2,Normal Sale,Yes,9000000
Adyar,1697,69,4,4,Partial,Yes,16400000
Saidapet,978,310,1,2,Normal Sale,Yes,5700000
OMR,1430,114,4,3,Partial,NO,9800000
Egmore,1338,654,2,2,Normal Sale,Yes,9100000
OMR,1217,113,3,2,Normal Sale,NO,8600000
Egmore,966,0,1,1,Partial,Yes,5900000
Egmore,1215,36,3,2,Partial,Yes,7600000
Guindy,1572,970,3,2,Normal Sale,NO,10400000
Anna Nagar,1682,147,4,2,Normal Sale,Yes,16600000
Nungambakkam,1320,127,3,2,Partial,Yes,11900000
Chromepet,1170,427,3,2,Normal Sale,Yes,7000000
Perambur,774,51,2,1,Partial,Yes,3300000
Besant Nagar,1463,37,4,3,Normal Sale,Yes,14900000
Avadi,805,113,2,2,Normal Sale,NO,3300000
T Nagar,1862,131,4,4,Normal Sale,Yes,17700000
Mylapore,1613,37,4,4,Normal Sale,Yes,16800000
Besant Nagar,1351,222,2,1,Normal Sale,Yes,10200000
Avadi,922,98,1,2,Normal Sale,Yes,3600000
Adyar,1639,454,4,4,Normal Sale,Yes,15100000
Guindy,1042,691,3,1,Normal Sale,NO,8000000
Adyar,1910,10,4,4,Normal Sale,NO,19200000
Chromepet,1011,107,2,2,Normal Sale,Yes,5900000
Besant Nagar,1248,238,3,1,Normal Sale,Yes,11200000
Thiruvanmiyur,1038,103,3,2,Normal Sale,Yes,8100000
Avadi,723,849,2,2,Normal Sale,Yes,2700000
Anna Nagar,1639,84,3,3,Normal Sale,Yes,15300000
Saidapet,841,75,2,2,Partial,Yes,4900000
Mylapore,1530,273,4,2,Normal Sale,Yes,15600000
Guindy,1469,644,3,4,Normal Sale,NO,10200000
Saidapet,1006,48,2,1,Normal Sale,Yes,6800000
Egmore,1261,820,3,2,Normal Sale,Yes,9200000
Egmore,1154,186,3,1,Normal Sale,Yes,8200000
Egmore,1422,218,4,2,Normal Sale,Yes,10600000
OMR,1135,18,2,2,Normal Sale,Yes,7200000
Porur,1008,93,3,1,Family,Yes,5400000
Nungambakkam,1423,317,3,3,Normal Sale,Yes,13600000
Saidapet,1117,37,2,2,Normal Sale,Yes,7700000
Nungambakkam,1306,131,3,1,Normal Sale,Yes,11700000
Mylapore,1538,384,4,2,Normal Sale,Yes,14300000
Mylapore,1514,287,4,2,Normal Sale,NO,14700000
Chromepet,861,183,1,2,Family,Yes,3600000
Nungambakkam,1613,1000,4,2,Family,Yes,12300000
OMR,1419,308,3,4,Normal Sale,Yes,10400000
Kodambakkam,1298,13,2,1,Normal Sale,Yes,9100000
Kodambakkam,1098,59,2,2,Normal Sale,NO,7300000
Thiruvanmiyur,1067,87,3,2,Normal Sale,Yes,8200000
Tambaram,954,75,2,1,Abnormal,Yes,3800000
Tambaram,902,102,2,2,Family,Yes,3700000
Kodambakkam,1086,20,3,1,Partial,Yes,8000000
Kodambakkam,1032,16,3,1,Normal Sale,Yes,7400000
Nungambakkam,1436,200,3,4,Normal Sale,Yes,13600000
Kodambakkam,1104,161,3,1,Normal Sale,NO,8000000
Besant Nagar,1519,409,3,3,Normal Sale,Yes,12500000
Tambaram,965,765,2,1,Normal Sale,NO,4200000
Besant Nagar,1276,440,3,1,Normal Sale,Yes,10400000
Velacherry,1584,468,4,2,Normal Sale,Yes,11800000
Guindy,1278,39,3,1,Normal Sale,Yes,10700000
Saidapet,920,735,1,2,Normal Sale,NO,4600000
Saidapet,1053,217,3,2,Normal Sale,NO,6900000
T Nagar,1487,22,4,2,Normal Sale,Yes,13600000
Nungambakkam,1586,138,3,3,Partial,Yes,13100000
Anna Nagar,1970,129,4,2,Normal Sale,Yes,18000000
Nungambakkam,1206,156,2,2,Normal Sale,Yes,9600000
Avadi,815,42,2,2,Normal Sale,NO,3000000
Chetpet,1667,130,3,2,Normal Sale,Yes,14500000
OMR,1517,21,3,2,Partial,Yes,9600000
Thiruvanmiyur,1364,34,3,2,Normal Sale,Yes,11500000
Mylapore,1342,9,3,2,Normal Sale,Yes,12500000
Adyar,1550,111,3,3,Normal Sale,Yes,13800000
Tambaram,712,265,1,1,Normal Sale,NO,3000000
Saidapet,1068,791,2,2,Normal Sale,Yes,6600000
Chromepet,1091,5,2,1,Normal Sale,Yes,6300000
Perambur,918,237,2,2,Normal Sale,Yes,4700000
Adyar,1593,66,3,2,Normal Sale,Yes,14200000
Velacherry,1305,73,3,2,Abnormal,Yes,7700000
Saidapet,869,243,1,2,Normal Sale,NO,4900000
Mylapore,1563,52,4,3,Normal Sale,Yes,14700000
Anna Nagar,1521,18,3,3,Normal Sale,NO,12400000
Nungambakkam,1311,522,2,2,Normal Sale,Yes,10500000
Mylapore,1490,164,3,4,Partial,Yes,12200000
Chetpet,1391,23,2,2,Normal Sale,Yes,10400000
Guindy,1321,125,3,2,Normal Sale,Yes,11300000
Velacherry,1467,255,4,3,Normal Sale,Yes,10800000
OMR,1356,638,2,1,Normal Sale,NO,7900000
Mylapore,1327,219,2,1,Normal Sale,Yes,10700000
Thiruvanmiyur,1284,30,3,2,Normal Sale,Yes,11200000
Adyar,1617,34,3,3,Abnormal,Yes,12300000
Kodambakkam,1342,147,3,2,Normal Sale,Yes,10600000
Chetpet,1427,139,3,4,Normal Sale,NO,11800000
Porur,1181,114,2,2,Normal Sale,Yes,6500000
Velacherry,1131,145,3,1,Partial,Yes,6900000
Thiruvanmiyur,1347,27,3,2,Abnormal,NO,9000000
Velacherry,1380,189,2,1,Abnormal,Yes,7200000
Mylapore,1570,346,3,2,Normal Sale,NO,13500000
Saidapet,1462,242,3,2,Normal Sale,Yes,10700000
Adyar,1675,76,4,2,Normal Sale,Yes,17200000
Velacherry,1058,695,3,2,Partial,Yes,6800000
Mylapore,1649,116,4,2,Normal Sale,Yes,15400000
Besant Nagar,1202,533,3,2,Normal Sale,Yes,9300000
Nungambakkam,1312,47,3,1,Normal Sale,Yes,12100000
Guindy,1501,95,4,3,Family,Yes,12300000
Porur,1177,302,2,2,Partial,Yes,6300000
Velacherry,1118,556,2,2,Partial,Yes,6800000
Nungambakkam,1134,463,3,2,Family,Yes,8500000
OMR,1322,467,2,1,Normal Sale,Yes,7800000
OMR,1388,148,3,1,Family,Yes,8600000
Velacherry,1218,528,3,2,Family,Yes,7000000
Velacherry,1084,106,2,2,Normal Sale,Yes,6500000
Anna Nagar,1806,1,4,4,Normal Sale,Yes,18400000
Nungambakkam,1448,233,4,4,Partial,NO,12500000
Adyar,1675,288,4,4,Normal Sale,Yes,16600000
Velacherry,1312,106,3,1,Normal Sale,Yes,9500000
Chromepet,1205,78,3,1,Normal Sale,Yes,7200000
Anna Nagar,1814,96,3,2,Normal Sale,Yes,16600000
T Nagar,1823,17,3,3,Partial,Yes,14600000
OMR,1280,53,3,1,Normal Sale,Yes,9000000
Chetpet,1234,26,2,2,Partial,Yes,8500000
T Nagar,1677,29,3,3,Partial,NO,14100000
T Nagar,1502,280,4,4,Partial,Yes,12600000
Saidapet,1097,74,3,2,Normal Sale,NO,6800000
OMR,1543,19,3,3,Abnormal,NO,8900000
Chetpet,1309,211,2,1,Normal Sale,NO,10300000
Saidapet,1132,304,2,1,Normal Sale,Yes,7300000
OMR,1343,38,3,2,Normal Sale,NO,9000000
Besant Nagar,1458,39,4,3,Normal Sale,Yes,14300000
Chromepet,1411,224,3,2,Partial,Yes,8000000
Thiruvanmiyur,1449,245,3,4,Normal Sale,NO,11300000
Perambur,1068,409,3,1,Normal Sale,Yes,5800000
Thiruvanmiyur,1321,259,2,2,Partial,NO,9100000
Saidapet,1281,569,2,1,Normal Sale,Yes,7500000
Chetpet,1285,314,2,1,Normal Sale,Yes,10200000
Anna Nagar,1963,375,4,2,Family,NO,15300000
Chromepet,1135,236,2,2,Normal Sale,Yes,6600000
Saidapet,1190,318,3,2,Normal Sale,Yes,7800000
T Nagar,1577,305,4,3,Normal Sale,Yes,15400000
Egmore,1421,375,3,2,Partial,Yes,10000000
Besant Nagar,1262,20,3,1,Partial,Yes,9700000
Porur,885,446,1,1,Normal Sale,Yes,4600000
Thiruvanmiyur,1328,158,2,2,Partial,Yes,9000000
OMR,1488,109,3,2,Normal Sale,Yes,11100000
Avadi,826,506,1,1,Normal Sale,Yes,3000000
Kodambakkam,1151,125,2,2,Partial,NO,7100000
Avadi,764,102,1,1,Partial,Yes,2800000
Saidapet,1151,86,3,1,Family,NO,6700000
Guindy,1408,230,4,3,Partial,Yes,11300000
T Nagar,1415,65,4,3,Partial,Yes,12800000
Egmore,1277,208,2,1,Normal Sale,NO,7600000
Guindy,1534,79,4,4,Normal Sale,NO,13300000
T Nagar,1501,252,3,4,Normal Sale,Yes,13700000
Velacherry,1217,158,3,2,Partial,NO,7400000
Anna Nagar,1756,67,4,3,Normal Sale,Yes,16400000
T Nagar,1493,10,4,2,Normal Sale,NO,14800000
Avadi,784,375,2,1,Normal Sale,NO,3200000
Tambaram,1000,48,2,1,Partial,Yes,4800000
Guindy,1206,3,2,2,Normal Sale,Yes,9100000
OMR,1249,1000,2,2,Normal Sale,Yes,7000000
Avadi,886,796,2,2,Partial,Yes,3200000
Mylapore,1588,162,3,4,Normal Sale,Yes,14300000
Chetpet,1374,63,2,1,Normal Sale,NO,10200000
Velacherry,1308,44,3,1,Normal Sale,Yes,9400000
Porur,1081,174,3,2,Normal Sale,Yes,6700000
Nungambakkam,1201,80,2,1,Normal Sale,NO,10300000
Mylapore,1781,60,3,3,Normal Sale,Yes,15900000
Saidapet,1162,460,2,1,Normal Sale,Yes,7300000
Avadi,820,65,2,2,Partial,Yes,3400000
Guindy,1066,17,2,1,Normal Sale,Yes,8100000
Tambaram,867,122,1,1,Partial,NO,3500000
Mylapore,1451,814,3,4,Normal Sale,Yes,11300000
Chromepet,1303,1000,3,2,Normal Sale,Yes,7400000
T Nagar,1598,37,3,4,Normal Sale,Yes,14200000
Velacherry,1264,179,2,1,Abnormal,Yes,7300000
Anna Nagar,1579,280,3,4,Normal Sale,Yes,13000000
Guindy,1324,266,2,2,Normal Sale,Yes,10500000
Anna Nagar,1765,22,4,2,Normal Sale,Yes,16400000
Porur,1045,455,3,2,Family,Yes,6000000
Avadi,967,6,1,1,Normal Sale,Yes,3500000
Velacherry,1384,34,2,2,Abnormal,Yes,7800000
Guindy,818,779,1,1,Normal Sale,Yes,5000000
T Nagar,1567,52,3,2,Normal Sale,Yes,13800000
Egmore,1235,349,2,2,Partial,Yes,7800000
Chetpet,1445,81,4,2,Family,Yes,11700000
Mylapore,1356,161,2,1,Normal Sale,Yes,11300000
Thiruvanmiyur,1418,161,3,2,Normal Sale,Yes,11000000
Guindy,1557,3,3,4,Normal Sale,Yes,13500000
OMR,1375,148,3,2,Normal Sale,NO,9700000
Anna Nagar,1780,10,3,4,Normal Sale,Yes,15200000
Avadi,687,192,2,2,Normal Sale,Yes,3000000
Perambur,737,818,1,2,Normal Sale,NO,3100000
Mylapore,1663,217,4,2,Partial,Yes,13600000
Tambaram,825,287,2,1,Normal Sale,NO,3500000
T Nagar,1579,73,4,3,Normal Sale,Yes,14800000
Porur,1378,674,3,2,Normal Sale,Yes,8700000
Nungambakkam,1079,57,2,2,Normal Sale,Yes,8900000
Adyar,1620,264,3,4,Normal Sale,Yes,14500000
Nungambakkam,1691,120,4,4,Normal Sale,NO,16700000
Nungambakkam,1547,132,4,3,Normal Sale,NO,13800000
Anna Nagar,2061,126,4,3,Normal Sale,NO,18800000
Velacherry,1468,145,4,4,Normal Sale,Yes,10900000
Avadi,828,29,1,2,Normal Sale,Yes,3000000
Chromepet,1202,59,3,2,Normal Sale,Yes,7700000
Perambur,928,14,1,1,Abnormal,Yes,3600000
OMR,1249,100,2,2,Normal Sale,Yes,8000000
T Nagar,1624,459,4,3,Normal Sale,Yes,15700000
Velacherry,1367,181,3,2,Abnormal,Yes,8600000
Egmore,1298,19,3,2,Normal Sale,Yes,9400000
Guindy,1526,89,4,2,Normal Sale,Yes,13100000
Tambaram,920,306,1,1,Normal Sale,Yes,4100000
Besant Nagar,1336,269,2,2,Normal Sale,Yes,10600000
Kodambakkam,919,383,1,2,Partial,Yes,5600000
OMR,1347,56,3,1,Family,Yes,7800000
Tambaram,983,318,2,2,Family,Yes,4300000
Perambur,803,10,2,2,Normal Sale,Yes,3700000
Nungambakkam,1441,14,4,3,Normal Sale,NO,14100000
OMR,1395,118,2,2,Abnormal,Yes,7600000
Kodambakkam,1114,170,2,1,Partial,Yes,7700000
T Nagar,1522,218,4,2,Normal Sale,Yes,15000000
Avadi,787,298,1,1,Normal Sale,NO,2700000
Mylapore,1538,30,4,4,Abnormal,NO,11200000
Anna Nagar,1461,15,4,2,Normal Sale,Yes,15400000
Nungambakkam,1455,10,4,2,Normal Sale,Yes,14100000
Velacherry,1259,169,2,1,Normal Sale,Yes,8700000
Porur,1090,5,3,2,Family,Yes,5700000
Saidapet,1253,218,3,1,Normal Sale,NO,7900000
Thiruvanmiyur,1192,130,3,1,Partial,Yes,8800000
Adyar,2032,262,4,3,Normal Sale,Yes,18100000
Adyar,1599,397,3,2,Normal Sale,Yes,13200000
OMR,1713,77,3,2,Normal Sale,Yes,11300000
Velacherry,1471,406,3,2,Abnormal,Yes,7900000
Saidapet,1149,2,3,2,Partial,Yes,8000000
Porur,1134,472,3,1,Normal Sale,Yes,6800000
OMR,1558,84,4,3,Normal Sale,Yes,11600000
T Nagar,1392,110,3,1,Normal Sale,Yes,13200000
Perambur,889,432,2,2,Normal Sale,Yes,4600000
Saidapet,1174,222,2,1,Abnormal,NO,6300000
T Nagar,1861,733,3,3,Normal Sale,NO,14800000
Nungambakkam,1393,138,2,2,Normal Sale,Yes,11100000
Porur,1206,561,2,1,Partial,Yes,6200000
Mylapore,1457,69,4,4,Normal Sale,Yes,13900000
